smiles,orig_smiles,steps,orig_index,is_solved,pipeline_status,syba_score,syba,sa,sc
CNC(=NC#N)NCCSCc1nc[nH]c1C,CNC(=NC#N)NCCSCc1nc[nH]c1C,1,103,True,no_warn,63.631446774171096,63.631446774171096,3.3820098510713255,4.064791665922123
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1,104,True,no_warn,109.67311578459066,109.67311578459066,2.1227326079667783,3.0238085797146748
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,3,105,True,no_warn,87.9386501111245,87.9386501111245,2.2872610473884105,3.8068565926301785
NCCCCCC(=O)O,NCCCCCC(=O)O,1,106,True,no_warn,-19.68463464056211,-19.68463464056211,1.726722237994787,1.7156950156117856
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1,107,True,no_warn,71.44130387015512,71.44130387015512,2.3911928015575246,3.130497102091447
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,2,108,True,no_warn,98.8251394349504,98.82513943495039,2.126160719824119,2.5532060540068002
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,1,109,True,no_warn,112.41523299726975,112.41523299726977,2.1430668374767503,4.036525631155167
O=C(O)P(=O)(O)O,O=C(O)P(=O)(O)O,3,110,True,no_warn,13.106535708118727,13.106535708118727,2.88975281729331,1.5126204547190518
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4,111,True,no_warn,130.54107193856848,130.54107193856848,2.4783017347080385,4.218879666305892
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,2,112,True,no_warn,28.160603821432,28.160603821432,2.124871248005615,2.7628447028199865
N=C(N)N,N=C(N)N,1,113,True,no_warn,1.6208225098505444,1.6208225098505444,2.69095381569875,1.4143351397398516
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4,114,True,no_warn,25.02482086368617,25.02482086368617,2.465200657032499,3.676379081165173
CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,10,115,False,no_warn,0.0757292896993528,0.07572928969935289,2.2264352217278134,2.8907478724908384
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,2,116,True,no_warn,21.646488310996624,21.646488310996624,2.4014026471275844,3.4957207548061384
O=c1[nH]cc(F)c(=O)[nH]1,O=c1[nH]cc(F)c(=O)[nH]1,1,117,True,no_warn,16.128521271337004,16.128521271337004,2.6590876226101727,2.186875398065897
CN(C)C(=O)Oc1ccc[n+](C)c1,CN(C)C(=O)Oc1ccc[n+](C)c1,1,118,True,no_warn,49.77145994678737,49.77145994678737,2.8187799697890448,1.539045760156796
CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,6,119,False,no_warn,52.26725932591269,52.26725932591269,2.487697390022797,4.602501812370264
O=C(O)CCCCCCCC(=O)O,O=C(O)CCCCCCCC(=O)O,1,120,True,no_warn,12.203252689472336,12.203252689472336,1.6408085412176163,1.7858020474079428
